    序号  正整数    平方根 迭代次数
       1       0         0       1
       2       1      1000       0
       3       1       500       0
       4       1       250       0
       5       1       125       0
       6       1     62.51       0
       7       1     31.26       0
       8       1     15.65       0
       9       1     7.855       0
      10       1     3.991       0
      11       1     2.121       0
      12       1     1.296       0
      13       1     1.034       0
      14       1     1.001       0
      15       2      2000       0
      16       2      1000       0
      17       2       500       0
      18       2       250       0
      19       2       125       0
      20       2     62.51       0
      21       2     31.27       0
      22       2     15.67       0
      23       2     7.898       0
      24       2     4.075       0
      25       2     2.283       0
      26       2      1.58       0
      27       2     1.423       0
      28       2     1.414       0
      29       3      3000       0
      30       3      1500       0
      31       3       750       0
      32       3       375       0
      33       3     187.5       0
      34       3     93.76       0
      35       3      46.9       0
      36       3     23.48       0
      37       3      11.8       0
      38       3     6.029       0
      39       3     3.263       0
      40       3     2.091       0
      41       3     1.763       0
      42       3     1.732       0
      43       4      4000       0
      44       4      2000       0
      45       4      1000       0
      46       4       500       0
      47       4       250       0
      48       4       125       0
      49       4     62.52       0
      50       4     31.29       0
      51       4     15.71       0
      52       4     7.982       0
      53       4     4.242       0
      54       4     2.592       0
      55       4     2.068       0
      56       4     2.001       0
      57       4         2       0
      58       5      5000       0
      59       5      2500       0
      60       5      1250       0
      61       5       625       0
      62       5     312.5       0
      63       5     156.3       0
      64       5     78.15       0
      65       5     39.11       0
      66       5     19.62       0
      67       5     9.936       0
      68       5     5.219       0
      69       5     3.089       0
      70       5     2.354       0
      71       5     2.239       0
      72       5     2.236       0
      73       6      6000       0
      74       6      3000       0
      75       6      1500       0
      76       6       750       0
      77       6       375       0
      78       6     187.5       0
      79       6     93.77       0
      80       6     46.92       0
      81       6     23.52       0
      82       6     11.89       0
      83       6     6.197       0
      84       6     3.583       0
      85       6     2.629       0
      86       6     2.456       0
      87       6     2.449       0
      88       7      7000       0
      89       7      3500       0
      90       7      1750       0
      91       7       875       0
      92       7     437.5       0
      93       7     218.8       0
      94       7     109.4       0
      95       7     54.73       0
      96       7     27.43       0
      97       7     13.84       0
      98       7     7.174       0
      99       7     4.075       0
     100       7     2.896       0
     101       7     2.657       0
     102       7     2.646       0
     103       8      8000       0
     104       8      4000       0
     105       8      2000       0
     106       8      1000       0
     107       8       500       0
     108       8       250       0
     109       8       125       0
     110       8     62.54       0
     111       8     31.34       0
     112       8      15.8       0
     113       8     8.151       0
     114       8     4.566       0
     115       8     3.159       0
     116       8     2.846       0
     117       8     2.828       0
     118       9      9000       0
     119       9      4500       0
     120       9      2250       0
     121       9      1125       0
     122       9     562.5       0
     123       9     281.3       0
     124       9     140.6       0
     125       9     70.36       0
     126       9     35.24       0
     127       9     17.75       0
     128       9     9.128       0
     129       9     5.057       0
     130       9     3.418       0
     131       9     3.026       0
     132       9         3       0
